nom_commune,code_postal,ville_cp
BEAUME,02500,BEAUME (02500)
BEAUMONT EN BEINE,02300,BEAUMONT EN BEINE (02300)
BEAUREVOIR,02110,BEAUREVOIR (02110)
BEAURIEUX,02160,BEAURIEUX (02160)
BEAUTOR,02800,BEAUTOR (02800)
BEAUVOIS EN VERMANDOIS,02590,BEAUVOIS EN VERMANDOIS (02590)
BECQUIGNY,02110,BECQUIGNY (02110)
BELLEAU,02400,BELLEAU (02400)
BELLENGLISE,02420,BELLENGLISE (02420)
BELLEU,02200,BELLEU (02200)
BELLICOURT,02420,BELLICOURT (02420)
BENAY,02440,BENAY (02440)
BERGUES SUR SAMBRE,02450,BERGUES SUR SAMBRE (02450)
BERLANCOURT,02250,BERLANCOURT (02250)
BERLISE,02340,BERLISE (02340)
BERNOT,02120,BERNOT (02120)
BERNY RIVIERE,02290,BERNY RIVIERE (02290)
BERRIEUX,02820,BERRIEUX (02820)
BERRY AU BAC,02190,BERRY AU BAC (02190)
BERTAUCOURT EPOURDON,02800,BERTAUCOURT EPOURDON (02800)
BERTHENICOURT,02240,BERTHENICOURT (02240)
BERTRICOURT,02190,BERTRICOURT (02190)
BESME,02300,BESME (02300)
BESMONT,02500,BESMONT (02500)
BESNY ET LOIZY,02870,BESNY ET LOIZY (02870)
BETHANCOURT EN VAUX,02300,BETHANCOURT EN VAUX (02300)
BEUGNEUX,02210,BEUGNEUX (02210)
BEUVARDES,02130,BEUVARDES (02130)
BEZU LE GUERY,02310,BEZU LE GUERY (02310)
BEZU ST GERMAIN,02400,BEZU ST GERMAIN (02400)
BICHANCOURT,02300,BICHANCOURT (02300)
BIEUXY,02290,BIEUXY (02290)
BIEVRES,02860,BIEVRES (02860)
BILLY SUR AISNE,02200,BILLY SUR AISNE (02200)
BILLY SUR OURCQ,02210,BILLY SUR OURCQ (02210)
BLANZY LES FISMES,02160,BLANZY LES FISMES (02160)
BLERANCOURT,02300,BLERANCOURT (02300)
BLESMES,02400,BLESMES (02400)
BOHAIN EN VERMANDOIS,02110,BOHAIN EN VERMANDOIS (02110)
BOIS LES PARGNY,02270,BOIS LES PARGNY (02270)
BONCOURT,02350,BONCOURT (02350)
BONNEIL,02400,BONNEIL (02400)
BONNESVALYN,02400,BONNESVALYN (02400)
BONY,02420,BONY (02420)
BOSMONT SUR SERRE,02250,BOSMONT SUR SERRE (02250)
BOUCONVILLE VAUCLAIR,02860,BOUCONVILLE VAUCLAIR (02860)
BOUE,02450,BOUE (02450)
BOUFFIGNEREUX,02160,BOUFFIGNEREUX (02160)
BOURESCHES,02400,BOURESCHES (02400)
BOURG ET COMIN,02160,BOURG ET COMIN (02160)
BOURGUIGNON SOUS COUCY,02300,BOURGUIGNON SOUS COUCY (02300)
BOURGUIGNON SOUS MONTBAVIN,02000,BOURGUIGNON SOUS MONTBAVIN (02000)
LA BOUTEILLE,02140,LA BOUTEILLE (02140)
BRAINE,02220,BRAINE (02220)
BRANCOURT EN LAONNOIS,02320,BRANCOURT EN LAONNOIS (02320)
BRANCOURT LE GRAND,02110,BRANCOURT LE GRAND (02110)
BRASLES,02400,BRASLES (02400)
BRAYE EN LAONNOIS,02000,BRAYE EN LAONNOIS (02000)
BRAYE EN THIERACHE,02140,BRAYE EN THIERACHE (02140)
BRAY ST CHRISTOPHE,02480,BRAY ST CHRISTOPHE (02480)
BRAYE,02880,BRAYE (02880)
BRECY,02210,BRECY (02210)
BRENELLE,02220,BRENELLE (02220)
BRENY,02210,BRENY (02210)
BRIE,02870,BRIE (02870)
BRISSAY CHOIGNY,02240,BRISSAY CHOIGNY (02240)
BRISSY HAMEGICOURT,02240,BRISSY HAMEGICOURT (02240)
BRUMETZ,02810,BRUMETZ (02810)
BRUNEHAMEL,02360,BRUNEHAMEL (02360)
BRUYERES SUR FERE,02130,BRUYERES SUR FERE (02130)
BRUYERES ET MONTBERAULT,02860,BRUYERES ET MONTBERAULT (02860)
BRUYS,02220,BRUYS (02220)
BUCILLY,02500,BUCILLY (02500)
